Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Age,Name,Present ,Present,Event ,Erosion,Lithology,Petroleum system,Age,Name,Present Depth,Present Thickness,Event type,Erosion,Lithology,Petroleum system
Doba,91,M-Zone,1391,574,Deposition,,Sandstone ,Reservoir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,94,A-zone,1965,465,Deposition,,Sandstone ,Reservoir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,100,B-Sandstone,2430,713,Deposition,,Sandstone ,Reservoir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,103,E4,3143,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,114,Mangara 1,3143,139,Deposition,100,Shale ,Source ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,115,Mangara 2,3282,155,Deposition,,Sandstone ,Reservoir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,118,Mangara 3,3437,218,Deposition,,Shale ,Source ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,120,C-D Zone,3655,155,Deposition,,Sandstone ,Reservoir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,126,E5,3810,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,127,E-Zone,3810,294,Deposition,100,Sandstone (clay rich),Source ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,130,F-Sandstone,4104,1007,Deposition,,Sandstone ,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doba,131,F-Sandstone base,5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
